name,osc1 shape,osc1 fm modulation,osc2 shape,osc2 pitch,osc2 tune,osc2 kbd track,osc mix,osc sync,osc ring modulation,osc pulse width,osc key shift,osc mod env on/off,osc mod env amount,osc mod env attack,osc p.env decay,filter type,filter attack,filter decay,filter sustain,filter release,filter freq,filter resonance,filter amount,filter kbd track,filter distortion,filter velocity switch,amp attack,amp decay,amp sustain,amp release,amp gain,amp velocity sens.,arp. on/off,arp type,arp range,arp beat,arp gate,delay on/off,delay time,delay feedback,delay level,chorus on/off,chorus type,chorus delay time,chorus depth,chorus rate,chorus feedback,chorus level,equalizer tone,equalizer freq.,equalizer level,equalizer Q,play mode type,play mode portament,pitch bend range,wheel lfo1 depth sens.,lfo1 on/off,lfo1 destination,lfo1 type,lfo1 speed,lfo1 depth,lfo2 on/off,lfo2 destination,lfo2 type,lfo2 speed,lfo2 depth
015,2,30,1,67,66,1,70,0,0,64,0,0,64,0,0,1,35,25,0,124,100,0,118,0,0,0,44,127,0,96,35,127,0,3,3,14,50,1,5,66,11,1,2,57,65,51,77,37,64,114,102,94,0,0,3,73,0,7,1,82,40,1,3,1,49,85
014,3,0,2,64,64,1,108,0,0,127,0,0,64,0,0,1,0,49,50,64,0,0,127,127,0,0,0,60,0,70,55,127,0,2,2,11,30,1,5,101,14,1,2,69,50,61,64,25,64,9,6,75,0,0,3,67,1,2,1,77,0,0,5,1,64,64
050,1,0,2,73,62,1,51,0,0,60,0,0,64,0,0,1,0,30,0,0,74,35,127,127,0,0,0,70,0,0,36,127,0,2,2,14,58,1,5,50,28,1,2,25,50,82,64,50,64,109,80,107,0,0,3,51,0,2,1,64,64,0,5,1,63,64
056,1,0,1,39,62,1,51,0,0,127,0,0,64,0,0,1,0,62,0,0,118,0,105,0,36,0,0,0,127,0,22,127,0,1,0,11,64,1,12,70,22,1,2,90,60,52,64,40,90,115,102,97,0,0,3,65,1,2,1,82,1,0,2,1,64,0
031,0,0,3,36,81,0,127,0,0,64,0,1,99,0,44,1,0,54,32,64,0,14,118,64,51,0,4,70,0,64,79,127,0,1,0,7,127,0,5,66,12,0,2,64,56,50,64,40,64,4,93,102,0,0,12,127,1,2,1,60,0,0,7,2,63,40
001,0,0,3,64,66,1,127,0,0,127,12,1,74,0,0,1,22,43,60,127,60,40,127,20,0,0,10,92,0,82,49,127,0,3,2,11,127,1,12,54,17,1,2,52,127,30,64,20,100,107,95,109,0,0,3,67,1,2,5,67,0,0,5,1,64,64
011,1,0,1,64,63,1,52,0,0,40,0,1,114,40,96,0,0,75,80,127,5,30,127,70,0,0,0,85,0,40,50,127,0,2,0,12,127,1,8,80,22,1,2,64,40,67,78,40,64,43,47,127,0,0,3,73,1,7,1,65,1,0,3,5,64,90
040,0,30,3,64,65,1,62,0,0,64,-5,1,0,0,100,1,20,62,108,72,110,0,71,0,0,0,22,64,0,53,70,127,0,1,0,14,127,1,5,85,9,1,2,64,54,59,101,40,66,46,38,127,0,0,12,96,1,2,5,60,0,1,6,1,60,0
070,0,110,3,77,35,1,38,1,0,21,-24,1,0,0,50,2,43,25,57,76,47,54,110,123,50,0,56,111,53,13,40,127,1,4,3,10,127,0,12,122,79,1,1,5,74,52,40,81,27,82,46,124,2,93,13,64,0,2,1,64,64,0,5,1,64,64
060,1,0,3,102,66,1,38,0,0,127,0,0,64,0,0,0,78,116,40,90,0,90,112,0,0,0,0,97,103,66,49,127,0,2,2,14,64,1,8,40,20,1,2,87,54,40,64,50,47,79,51,100,2,0,3,65,1,2,5,25,1,1,3,1,62,60
071,1,127,4,73,66,1,58,0,0,6,24,0,64,0,0,0,30,0,70,0,110,80,26,127,75,0,0,45,0,0,60,127,0,1,0,14,70,1,1,90,43,1,2,127,127,21,65,24,64,54,73,102,0,0,0,22,0,1,1,19,4,0,1,1,65,64
061,0,0,1,113,62,1,57,0,0,64,0,0,64,0,0,1,0,87,0,127,0,0,127,64,0,0,0,98,0,62,48,127,0,1,0,11,64,1,12,49,17,1,2,64,127,24,64,30,90,72,42,102,0,0,3,66,1,2,1,71,1,0,5,1,64,64
046,1,0,3,39,81,0,127,0,0,64,0,1,114,0,37,1,0,124,127,127,0,0,127,64,60,0,0,77,0,67,36,127,0,1,0,7,127,0,8,40,20,0,2,85,50,59,64,15,64,4,102,60,1,0,12,127,0,3,1,64,64,0,5,1,64,64
